Customer_ID,Age,Gender,Income,Occupation,City,Credit_Score,Transaction_ID,Amount,Merchant_Type,Transaction_Time,Is_Fraud,Loan_ID,Loan_Amount,Tenure,EMI,Default_Status,Stock_Sentiment_Score,Stock_Return,Investment_Amount,Policy_ID,Claim_Amount,Claim_Status,Risk_Score
CUST00001,47,M,54225.74,Teacher,Phoenix,615,TXN000001,397.25,Electronics,2023-11-28 04:06:04,0,LOAN000001,92637.07,34,3041.33,0,-0.811,-0.0458,6409.62,POL000001,0,0,40.16
CUST00002,37,F,86584.16,Engineer,New York,587,TXN000002,80.7,Utilities,2023-12-25 21:18:49,0,LOAN000002,67027.29,41,1881.92,0,0.367,0.0293,7577.18,POL000002,0,0,84.09
CUST00003,49,M,72692.19,Manager,Chicago,613,TXN000003,175.28,Utilities,2023-06-30 02:06:02,0,LOAN000003,124007.04,42,3379.96,0,-0.74,-0.0932,11176.98,POL000003,5483.5,1,44.6
CUST00004,62,F,93458.55,Lawyer,Seattle,657,TXN000004,44.89,Pharmacy,2024-09-11 15:14:44,1,LOAN000004,114560.28,31,4043.14,0,0.865,0.0402,17390.24,POL000004,0,0,9.25
CUST00005,36,M,127728.53,Lawyer,San Diego,675,TXN000005,640.72,Travel,2023-11-11 14:37:53,0,LOAN000005,182075.8,58,3666.56,0,0.151,-0.0166,21646.53,POL000005,0,0,5.5
CUST00006,36,M,106840.4,Doctor,San Francisco,650,TXN000006,79.78,Clothing,2024-05-04 03:34:59,0,LOAN000006,16409.88,22,796.96,0,0.298,-0.0322,16854.74,POL000006,0,0,64.13
CUST00007,63,M,52576.08,Teacher,Los Angeles,626,TXN000007,34.91,Pharmacy,2023-05-24 06:25:49,0,LOAN000007,99913.56,27,4032.12,0,-0.783,-0.0537,3603.12,POL000007,0,0,58.34
CUST00008,51,M,66993.5,Teacher,Seattle,644,TXN000008,145.58,Online_Retail,2023-05-25 18:30:14,0,LOAN000008,78376.16,30,2859.67,0,0.707,-0.0055,4496.92,POL000008,0,0,22.21
CUST00009,32,F,56908.48,Sales,Los Angeles,574,TXN000009,109.77,Clothing,2024-05-12 11:23:29,0,LOAN000009,112520.12,7,16534.04,0,2.085,0.0608,6681.61,POL000009,8278.43,1,93.57
CUST00010,48,M,101797.37,Engineer,Dallas,659,TXN000010,95.06,Clothing,2024-05-25 13:06:27,0,LOAN000010,105383.77,60,2077.79,0,-1.008,-0.0858,10631.87,POL000010,0,0,27.79
CUST00011,33,F,97735.58,Engineer,Dallas,683,TXN000011,77.44,Entertainment,2023-12-02 15:34:12,0,LOAN000011,100846.43,27,4017.63,0,-0.34,-0.0267,12566.12,POL000011,0,0,2.25
CUST00012,33,M,43705.01,Teacher,Denver,619,TXN000012,4.68,Pharmacy,2023-11-04 06:11:24,1,LOAN000012,23687.43,10,2452.26,0,0.232,0.0026,4703.23,POL000012,1251.28,1,53.84
CUST00013,43,M,76215.43,Lawyer,Philadelphia,593,TXN000013,63.64,Grocery,2023-01-23 16:11:00,1,LOAN000013,83856.19,9,9636.22,1,0.786,-0.0392,12854.49,POL000013,5855.16,1,44.55
CUST00014,18,M,32506.67,Student,San Francisco,563,TXN000014,212.62,Electronics,2024-07-26 17:54:55,0,LOAN000014,59942.39,41,1696.43,0,-0.56,0.0786,4120.22,POL000014,0,0,67.16
CUST00015,18,F,23386.6,Student,Austin,553,TXN000015,27.78,Pharmacy,2024-04-21 23:46:58,0,LOAN000015,8136.9,11,773.19,0,-2.833,-0.0993,4501.06,POL000015,0,0,8.74
CUST00016,31,M,95458.26,Lawyer,Los Angeles,593,TXN000016,202.34,Clothing,2024-11-16 22:07:41,0,LOAN000016,176185.74,57,3737.3,0,1.359,-0.0063,10195.11,POL000016,0,0,51.18
CUST00017,24,F,56953.75,Sales,Dallas,599,TXN000017,49.75,Restaurant,2023-06-03 06:23:38,0,LOAN000017,40711.61,26,1711.03,0,0.761,-0.0337,6099.24,POL000017,0,0,19.45
CUST00018,44,F,118903.32,Lawyer,San Francisco,723,TXN000018,79.85,Clothing,2023-12-16 04:41:08,0,LOAN000018,144414.91,18,8379.52,0,-1.743,0.0551,19647.47,POL000018,0,0,31.78
CUST00019,26,F,32735.33,Service,Houston,521,TXN000019,199.58,Clothing,2024-04-04 23:28:01,0,LOAN000019,51436.9,59,1096.6,0,-0.608,0.0155,6116.2,POL000019,6131.55,1,60.51
CUST00020,18,F,35825.01,Student,Austin,514,TXN000020,175.19,Travel,2023-11-30 15:26:43,1,LOAN000020,62166.14,42,1752.1,0,1.568,-0.0155,4830.06,POL000020,0,0,94.34
CUST00021,61,F,83208.8,Engineer,New York,705,TXN000021,29,Gas_Station,2023-10-30 00:25:27,0,LOAN000021,67384.36,60,1299.6,0,1.448,0.0843,12392.25,POL000021,0,0,90.84
CUST00022,36,F,145824.87,Doctor,Seattle,695,TXN000022,277.95,Travel,2023-01-04 10:57:17,0,LOAN000022,124189.06,30,4473.79,0,0.939,0.0288,10574.27,POL000022,0,0,36.11
CUST00023,41,F,51075.83,Sales,Denver,619,TXN000023,38.41,Pharmacy,2024-07-01 09:13:26,0,LOAN000023,34392.1,31,1225.71,0,-0.176,0.0093,9210.14,POL000023,3667.4,1,14.79
CUST00024,18,F,26342.96,Student,Atlanta,542,TXN000024,76.23,Restaurant,2023-06-16 20:05:22,0,LOAN000024,10517.62,60,219.15,0,0.083,-0.0156,2023.93,POL000024,0,0,85.38
